Wood Width,Wood Thickness,Iron Width,Iron Thickness,Edge Distance,Bolt Diameter,Bolt Number,Bolt Type,Load Ratio,Weight,Fire Resistance Time,Load carrying capacity
323.187725884962,203.5131006956213,167.54822077840512,6.070407964369421,112.15417546702115,20.0,6.222782334039947,1,30,-136.14566,24.683884248347763,-216998.20139465012
320.1198335099121,203.5131006956213,170.05499234926305,6.070407964369421,109.88145486270078,20.0,6.627304424189984,1,30,-136.14566,24.9903318815174,-231104.5225344374
320.1198335099121,203.5131006956213,170.05499234926305,6.070407964369421,112.15417546702115,20.0,6.627304424189984,1,30,-136.14566,24.9903318815174,-231104.5225344374
320.85524789489267,203.5131006956213,171.46869860865922,6.070407964369421,113.00695829365152,20.0,6.696167779826537,1,30,-136.14566,25.118307502743058,-233505.89598974684
320.1198335099121,203.5131006956213,161.5495987497827,6.0,112.21708286587682,20.0,6.936746948739435,1,30,-136.14566,25.158999705353608,-241895.2697689878
320.1198335099121,203.5131006956213,161.5495987497827,6.070407964369421,109.5433999602621,20.0,7.246616583766529,1,30,-136.14566,25.509076391979562,-252700.9110172559
320.85524789489267,203.5131006956213,170.05499234926305,6.0,113.00695829365152,20.0,7.323825928510775,1,30,-136.14566,25.719000210775405,-255393.32223156295
320.1198335099121,203.5131006956213,170.05499234926305,6.070407964369421,109.88145486270078,20.0,7.3338693483812385,1,30,-136.14566,25.723533372593607,-255743.5520693993
320.1198335099121,203.5131006956213,161.5495987497827,6.070407964369421,112.21708286587682,20.0,7.632911145490106,1,30,-136.14566,25.90993374981479,-266171.6095895021
320.1198335099121,202.81950743953502,161.5495987497827,6.070407964369421,113.30089656604338,20.0,7.737740210330888,1,30,-136.14566,25.938463796067595,-269827.16385819286
320.1198335099121,202.81950743953502,161.5495987497827,6.070407964369421,113.30089656604338,20.0,7.867275957860922,1,30,-136.14566,26.072431488754795,-274344.27898795827
320.1198335099121,203.5131006956213,162.06123103723687,6.070407964369421,109.88145486270078,20.0,7.873090281102814,1,30,-136.14566,26.16662128256265,-274547.033578765
320.1198335099121,203.5131006956213,161.5495987497827,6.0,112.21708286587682,20.0,7.923858916072864,1,30,-136.14566,26.183149908167103,-276317.4156818796
320.1198335099121,203.5131006956213,170.05499234926305,6.0,115.26866744902725,20.0,7.9284300951367825,1,30,-136.14566,26.310370274011937,-276476.81988113903
320.1198335099121,203.5131006956213,162.06123103723687,6.0,123.43210809575096,20.0,6.176062230180262,1,30,-136.09056,24.37714021824864,-215368.99793511967
320.1198335099121,203.5131006956213,170.05499234926305,6.070407964369421,126.74406721244507,20.0,6.4082928406536706,1,30,-136.09056,24.763063849785443,-223467.24435872462
320.1198335099121,202.05194643361537,162.06123103723687,6.070407964369421,126.45648074012894,20.0,7.378682372231054,1,30,-136.09056,25.4871504572112,-257306.25265130322
320.1198335099121,203.5131006956213,162.06123103723687,6.0,126.45648074012894,20.0,7.873090281102814,1,30,-136.09056,26.137843846660274,-274547.033578765
320.1198335099121,203.5131006956213,161.5495987497827,6.0,123.43210809575096,20.0,7.9284300951367825,1,30,-136.09056,26.18789260617942,-276476.81988113903
320.1198335099121,203.5131006956213,162.06123103723687,6.0,117.78920195035323,20.0,8.0,1,30,-136.03354,26.269515448919,-278972.5749623266
320.1198335099121,203.5131006956213,162.06123103723687,6.0,112.21708286587682,20.0,8.0,1,30,-136.03354,26.269515448919,-278972.5749623266
320.85524789489267,203.5131006956213,162.06123103723687,6.0,112.93495439389315,6.3602996982436,4.623030887249135,1,30,-136.03076,18.49034737207889,-22181.401615297757
320.85524789489267,203.5131006956213,170.05499234926305,6.0,117.47541482473424,6.129722177059731,5.097307376944981,1,30,-136.03076,18.61714592803791,-22912.41342562587
320.1198335099121,203.0986358687778,170.05499234926305,6.0,117.97220183165352,6.111568429804377,6.222782334039947,1,30,-136.03076,18.65427321658444,-27825.181920494393
320.1198335099121,202.78771433468583,170.05499234926305,6.0,117.97220183165352,6.431869783376831,6.240860791593579,1,30,-136.03076,18.696031197526754,-30541.337142856155
320.1198335099121,203.5131006956213,170.05499234926305,6.0,109.5433999602621,6.571728640946819,6.08956927039845,1,30,-136.03076,18.76660606829617,-30954.34297544528
320.1198335099121,203.0986358687778,170.05499234926305,6.0,117.97220183165352,6.431869783376831,7.33602819963399,1,30,-136.03076,18.838206007954643,-35900.83451890472
320.1198335099121,202.25532175149002,170.05499234926305,6.070407964369421,112.15417546702115,6.9915962756071695,7.246616583766529,1,30,-136.03076,18.929922733675472,-41087.17989083732
320.1198335099121,203.5131006956213,161.5495987497827,6.070407964369421,113.30089656604338,7.2421641759817685,7.004131660802468,1,30,-136.03076,18.942292549955017,-42253.744481448135
320.1198335099121,203.5131006956213,170.05499234926305,6.0,117.3852278734651,6.9915962756071695,7.737740210330888,1,30,-136.03076,19.065530286185446,-43871.77385410755
320.1198335099121,203.5131006956213,170.05499234926305,6.0,117.3852278734651,6.9915962756071695,7.867275957860922,1,30,-136.03076,19.081954310044434,-44606.22123372788
320.1198335099121,203.5131006956213,170.05499234926305,6.0,112.21708286587682,7.185793236999315,7.616629628484661,1,30,-136.03076,19.104566971887348,-45320.75069619509
320.1198335099121,203.5131006956213,170.05499234926305,6.0,112.21708286587682,7.214349275703822,7.616629628484661,1,30,-136.03076,19.112690876898263,-45638.428444278325
320.1198335099121,203.5131006956213,170.05499234926305,6.0,112.21708286587682,7.185793236999315,7.734919660583397,1,30,-136.03076,19.120409877322402,-46024.60441051287
